GeoFIPS,County,Description,Year,Total
12019,Clay,Real GDP (thousands of chained dollars),2020,5477250000
12031,Duval,Real GDP (thousands of chained dollars),2020,67932413000
12089,Nassau,Real GDP (thousands of chained dollars),2020,3021533000
12109,St. Johns,Real GDP (thousands of chained dollars),2020,10716450000
12019,Clay,Real GDP (thousands of chained dollars),2021,5843169000
12031,Duval,Real GDP (thousands of chained dollars),2021,72733497000
12089,Nassau,Real GDP (thousands of chained dollars),2021,3281865000
12109,St. Johns,Real GDP (thousands of chained dollars),2021,11721991000
12019,Clay,Real GDP (thousands of chained dollars),2022,6039501000
12031,Duval,Real GDP (thousands of chained dollars),2022,76660524000
12089,Nassau,Real GDP (thousands of chained dollars),2022,3438877000
12109,St. Johns,Real GDP (thousands of chained dollars),2022,12581337000
12019,Clay,Real GDP (thousands of chained dollars),2023,6677254000
12031,Duval,Real GDP (thousands of chained dollars),2023,79935863000
12089,Nassau,Real GDP (thousands of chained dollars),2023,3797201000
12109,St. Johns,Real GDP (thousands of chained dollars),2023,13515965000
12019,Clay,Real GDP (thousands of chained dollars),2024,7086382000
12031,Duval,Real GDP (thousands of chained dollars),2024,83517200000
12089,Nassau,Real GDP (thousands of chained dollars),2024,3800560000
12109,St. Johns,Real GDP (thousands of chained dollars),2024,14423704000
