Index,Facility,Critical Segment,2023
1,I-95,SR-10 to Acosta Expressway,3
2,SR-115 (Lem Turner Road),Broward Rd to Leonid Rd,2.2
3,I-95,Emerson St to SR-10,2.18
4,I-295 East Beltway,Monument Rd to SR-116,2.16
5,I-295 East Beltway,SR-202 to Town Center Parkway,2.03
6,I-95,SR-202 to SR-109,1.91
7,US-1 (Phillips Highway),SR9B to Race Track Road,1.87
8,I-95,Acosta Expressway to Riverside Avenue,1.82
9,I-95,State Street to 8th Street,1.79
10,I-295 East Beltway,Town Center Parkway to US-90,1.74
11,I-295 East Beltway,St. John's Bluff Rd to Monument Rd,1.74
12,US-1 (Phillips Highway),King St to Orange St,1.7
13,I-10,Willow Branch Ave to Goodwin St,1.69
14,US 23 (State Street),I-95 to Madison Street,1.67
