STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
12,         710001,1,4,1,218,0,2,19,0,GUM BRANCH,,CR 218,1.9 MI EAST OF US 301,99.99,3.103,0,71120000,0,30082760,82001400,20,3,2,2,7,1950,2,0,13500,2022,0,9.7,0,0,0,N,N,1,1,5,0,0,0,A,1,5,1,19,0,0,3,0,10.5,2.7,7.7,0,0,0,0,99.99,N,0,N,0,0,N,N,N,5,6,1,42.8,1,25.7,6,N,N,5,8,8,,,0,922,24,N  ,Y24,N  ,,922,,0,0,0,,,0,               ,0,N,2,,0,0,0,N,N,N,N,4,0,,Y,8,23423,2042,0,N,12,F,6,74.69
12,         710002,1,2,1,17,0,2,19,0,CLARKES CREEK,,US-17 (SR-15),8.5 MI. S. OF SR-16,99.99,4.395,1,71010000,0,29524207,81395161,32,3,1,1,2,1961,4,0,9700,2022,2,18.1,1,0,0,N,N,N,N,5,0,0,0,A,1,5,1,19,0,0,3,0,14.2,3,9.6,0,0,0,0,99.99,N,0,N,0,0,N,N,N,6,6,1,68.7,1,41.2,6,N,N,5,8,8,,,0,822,24,N  ,N  ,N  ,,,,0,0,0,,,0,               ,0,N,2,,1,0,1993,N,N,N,N,21,0,,Y,8,16830,2044,0,N,12,F,6,173.76
12,         710003,1,4,1,209,0,2,19,0,WALKILL CREEK,,CR 209,2 MI SOUTH OF US 17,99.99,5.008,0,71550000,0,29560552,81393972,5,3,2,2,9,1950,2,0,619,2022,0,6.1,0,0,0,N,N,1,1,5,0,0,0,A,1,5,3,19,0,0,4,0,7.8,3.7,19.5,0,0,0,0,99.99,N,0,N,0,0,N,N,N,7,5,3,99.9,3,99.9,5,N,N,5,5,8,,,0,822,24,N  ,N  ,N  ,,,,0,0,0,,,0,               ,0,N,2,,0,0,0,N,N,N,N,10,0,,Y,8,1074,2042,0,N,12,F,5,118.95
12,         710004,1,2,1,17,0,2,19,0,CSXRR,,US-17 SB (SR-15),2.6 MI. S. OF SR-16,99.99,13.937,1,71010000,0,29572200,81401900,2,3,1,1,2,1961,2,0,5650,2022,6,11,0,40,0,1,1,1,1,5,N,0,0,A,1,2,5,2,0,0,3,0,12.1,19.8,50.3,0,0,12.1,13.3,99.99,R,6.83,R,5.8,0,7,7,7,N,N,3,43.1,3,33.9,7,7,6,5,N,7,,,0,923,24,N  ,N  ,N  ,,,,0,0,0,,,0,               ,0,L,1,,1,0,1993,1,0,0,0,21,0,,Y,N,9803,2044,0,N,12,G,7,668.99
12,         710006,1,2,1,17,0,2,19,0,GOVERNORS CREEK,,US-17 (SR-15),1.239 MI. N. OF SR-16,99.99,2,1,71020000,0,30002269,81412715,26,3,1,1,14,1973,4,0,27500,2022,5,17.9,0,0,0,1,1,1,1,5,1,2.4,9.5,A,5,5,5,1,0,0,10,0,17.6,10.1,100.6,3.4,1.8,17.6,24.3,99.99,N,0,N,0,0,5,5,6,7,N,3,66.3,3,51.2,5,5,N,5,8,8,,,0,323,24,N  ,Y23,N  ,,323,,0,0,0,,,0,               ,0,N,2,,1,0,0,2,6,0,0,7,0,1,Y,5,47712,2044,0,N,12,F,5,2444.58
12,         710009,1,2,1,17,0,2,19,0,BLACK CREEK,,US-17 SB (SR-15),N. OF GREEN COVE SPRINGS,99.99,6.31,1,71020000,0,30022820,81423237,1,3,1,1,14,1973,2,0,17250,2022,4,9.1,0,0,0,1,1,1,1,5,1,9.1,18.4,A,1,5,5,2,0,0,17,0,12.2,29,446.5,0,0,12.2,12.8,99.99,N,0,N,0,0,6,7,6,7,N,1,59.1,1,28.1,6,7,N,5,8,8,,,0,923,24,N  ,Y23,N  ,,923,,0,0,0,,,0,               ,0,L,1,,1,0,0,1,0,0,0,7,0,2,Y,5,29929,2042,0,N,12,F,6,5715.2
12,         710012,1,2,1,17,0,2,19,52125,JOHNSON SLOUGH,,US-17 (SR-15),0.4 MI. S. OF SR-224,99.99,19.716,1,71020000,0,30093648,81420298,27,3,1,1,14,1967,6,0,54000,2022,5,21.3,2,0,0,1,N,N,N,5,0,0,0,A,5,5,5,1,0,0,3,0,25.4,7.6,22.9,2,2,25.4,30.3,99.99,N,0,N,0,0,5,5,7,7,N,1,57.1,1,49.8,5,5,N,5,8,8,,,0,123,24,N  ,N  ,N  ,,,,0,0,0,,,0,               ,0,N,2,,1,0,2010,2,6,0,0,7,0,,Y,5,93690,2044,0,N,12,F,5,693.87
12,         710013,1,4,1,315,0,2,19,0,ATES CREEK,,CR 315,0.7 MI EAST OF SR 21,99.99,1.236,0,71560000,0,29543900,81530600,11,3,2,2,9,1960,2,0,515,2022,2,5.7,0,25,0,0,0,0,0,5,0,0,0,A,1,5,1,1,0,0,8,0,7.3,6.1,48.8,0.2,0.2,7.3,7.8,99.99,N,0,N,0,0,6,6,5,5,N,3,32.7,3,25.1,5,4,N,5,8,8,,,0,822,24,N  ,Y24,N  ,,822,,0,0,0,,,0,               ,0,N,2,,0,0,0,1,0,0,0,10,0,,Y,3,894,2042,0,N,12,F,5,380.64
12,         710014,1,4,1,209,0,2,19,0,BRADLEY CREEK,,CR209 (RUSSELL RD),5 MI NW OF US 17,99.99,11.455,0,71530000,0,30042471,81463484,3,3,2,2,17,1948,2,0,11000,2022,0,6.4,0,0,0,0,0,1,1,5,0,0,0,P,1,5,1,1,0,0,4,0,7.3,6.1,24.4,0,0,7.3,7.8,99.99,N,0,N,0,0,6,6,6,6,N,3,16.7,3,13.1,2,2,N,0,8,7,31,1,32,922,24,N  ,Y24,Y12,,922,923,300,30,450,,,0,               ,0,N,2,,0,0,0,1,0,0,0,2,0,,Y,U,19085,2042,0,N,12,F,6,190.32
12,         710015,1,2,1,301,0,2,19,0,LONG BRANCH,,US-301 (SR-200),2 MI. N. of CR-218,99.99,8.034,1,71030000,0,30104500,82012400,21,3,1,1,2,1963,5,0,24500,2022,6,18.9,1,29,0,N,N,N,N,5,0,0,0,A,1,5,1,19,0,0,3,0,15.8,3,10.9,0,0,0,0,99.99,N,0,N,0,0,N,N,N,6,6,1,53.7,1,32.2,6,N,N,5,8,8,,,0,1022,24,N  ,N  ,N  ,,,,0,0,0,,,0,               ,0,N,2,,1,0,2000,N,N,N,N,32,1,,Y,8,42508,2044,0,N,12,F,6,206.01
