Index,Facility,Direction,Critical Segment From,Critical Segment To,TTTR PM Peak
1,Arlington Expressway,Northbound,Atlantic Boulevard,Broadcast Place,6.01
2,I-295,Northbound,SR 202,Town Center Parkway,5.89
3,I-295,Northbound,Old Saint Augustine Road Off Ramp,Old St Augustine Road On Ramp,5.66
4,Arlington Expressway,Southbound,Atlantic Boulevard,Pearson Street,5.54
5,I-95,Southbound,SR 9B Off Ramp,SR 9B On Ramp,5.43
6,I-295,Northbound,San Jose Boulevard Off Ramp,San Jose Boulevard On Ramp,4.51
7,I-295,Southbound,Merrill Road Off Ramp,Merrill Road On Ramp,4.48
8,I-10 Interchange,Westbound,Goodwin Street,Stockton Street,4.12
9,I-95,Northbound,SR 202 Off Ramp,SR 202 On Ramp,4.11
10,I-295,Southbound,Normandy Boulevard Off Ramp,Normandy Boulevard On Ramp,3.37
11,I-95,Southbound,Golfair Boulevard Off Ramp,Golfair Boulevard On Ramp,3.34
12,I-95,Southbound,8th Street,20th Street Expressway,3.3
13,I-295,Southbound,Pritchard Road Off Ramp,Pritchard Road On Ramp,3.27
14,I-95,Southbound,Old Saint Augustine Road Off Ramp,Old St Augustine Road On Ramp,3.22
15,I-95,Southbound,I-295/Exit 337,Greenland Road,3.21
16,I-95,Southbound,US 1 Alternative/Exit 347,Emerson Street,3.16
17,I-295,Southbound,Monument Road Off Ramp,Monument Road On Ramp,3.16
18,I-295,Southbound,Alta Drive Off Ramp,Alta Drive On Ramp,3.05
19,I-295,Southbound,US 1 Off Ramp,US 1 On Ramp,2.97
20,I-295,Southbound,I-95 Off Ramp,I-95 On Ramp,2.94
