Index,Month,Type,Count
12,Jan-20,Arrivals,115044
13,Feb-20,Arrivals,114639
14,Mar-20,Arrivals,117775
15,Apr-20,Arrivals,256388
16,May-20,Arrivals,243993
17,Jun-20,Arrivals,152689
18,Jul-20,Arrivals,14525
19,Aug-20,Arrivals,38592
20,Sep-20,Arrivals,78746
21,Oct-20,Arrivals,98611
22,Nov-20,Arrivals,95464
23,Dec-20,Arrivals,100852
24,Jan-21,Arrivals,96330
25,Feb-21,Arrivals,93242
26,Mar-21,Arrivals,159511
27,Apr-21,Arrivals,188224
28,May-21,Arrivals,224219
29,Jun-21,Arrivals,256180
30,Jul-21,Arrivals,265428
31,Aug-21,Arrivals,232296
32,Sep-21,Arrivals,220023
33,Oct-21,Arrivals,252943
34,Nov-21,Arrivals,268969
35,Dec-21,Arrivals,263688
36,Jan-22,Arrivals,195953
37,Feb-22,Arrivals,214237
38,Mar-22,Arrivals,287401
39,Apr-22,Arrivals,281692
40,May-22,Arrivals,293773
41,Jun-22,Arrivals,296231
42,Jul-22,Arrivals,296267
43,Aug-22,Arrivals,281156
44,Sep-22,Arrivals,256979
45,Oct-22,Arrivals,291219
46,Nov-22,Arrivals,287758
47,Dec-22,Arrivals,295228
48,Jan-23,Arrivals,261801
49,Feb-23,Arrivals,253905
50,Mar-23,Arrivals,325903
51,Apr-23,Arrivals,322522
52,May-23,Arrivals,329269
53,Jun-23,Arrivals,341129
54,Jul-23,Arrivals,341139
55,Aug-23,Arrivals,302839
56,Sep-23,Arrivals,291981
57,Oct-23,Arrivals,314902
58,Nov-23,Arrivals,316374
59,Dec-23,Arrivals,313314
72,Jan-20,Departures,114869
73,Feb-20,Departures,116174
74,Mar-20,Departures,118750
75,Apr-20,Departures,249318
76,May-20,Departures,247787
77,Jun-20,Departures,152006
78,Jul-20,Departures,12878
79,Aug-20,Departures,39707
80,Sep-20,Departures,78003
81,Oct-20,Departures,94739
82,Nov-20,Departures,93911
83,Dec-20,Departures,100251
84,Jan-21,Departures,93489
85,Feb-21,Departures,95717
86,Mar-21,Departures,169823
87,Apr-21,Departures,180757
88,May-21,Departures,223037
89,Jun-21,Departures,251550
90,Jul-21,Departures,264771
91,Aug-21,Departures,231043
92,Sep-21,Departures,219934
93,Oct-21,Departures,259736
94,Nov-21,Departures,267978
95,Dec-21,Departures,265557
96,Jan-22,Departures,189949
97,Feb-22,Departures,221372
98,Mar-22,Departures,289389
99,Apr-22,Departures,277002
100,May-22,Departures,302875
101,Jun-22,Departures,293190
102,Jul-22,Departures,298936
103,Aug-22,Departures,279237
104,Sep-22,Departures,253414
105,Oct-22,Departures,301271
106,Nov-22,Departures,289113
107,Dec-22,Departures,301260
108,Jan-23,Departures,259811
109,Feb-23,Departures,258391
110,Mar-23,Departures,332884
111,Apr-23,Departures,313852
112,May-23,Departures,323704
113,Jun-23,Departures,339317
114,Jul-23,Departures,345315
115,Aug-23,Departures,304553
116,Sep-23,Departures,292007
117,Oct-23,Departures,325425
118,Nov-23,Departures,317760
119,Dec-23,Departures,317987
,Jan-24,Departures,264696
,Feb-24,Departures,276317
,Mar-24,Departures,346157
,Apr-24,Departures,323445
,May-24,Departures,356904
,Jun-24,Departures,349486
,Jul-24,Departures,339691
,Aug-24,Departures,317331
,Sep-24,Departures,289442
,Oct-24,Departures,322613
,Nov-24,Departures,312461
,Dec-24,Departures,327798
,Jan-24,Arrivals,265498
,Feb-24,Arrivals,267697
,Mar-24,Arrivals,340718
,Apr-24,Arrivals,334631
,May-24,Arrivals,637009
,Jun-24,Arrivals,348627
,Jul-24,Arrivals,333026
,Aug-24,Arrivals,315820
,Sep-24,Arrivals,290657
,Oct-24,Arrivals,312587
,Nov-24,Arrivals,313621
,Dec-24,Arrivals,323172
