index,Date,Labor Force,Employment,Unemployment,Unemployment Rate
12,1/1/2021,780522,740675,39847,5.1
13,2/1/2021,782293,745922,36371,4.6
14,3/1/2021,784664,750094,34570,4.4
15,4/1/2021,784954,752494,32460,4.1
16,5/1/2021,792430,760777,31653,4
17,6/1/2021,801535,764473,37062,4.6
18,7/1/2021,804311,768681,35630,4.4
19,8/1/2021,805271,771594,33677,4.2
20,9/1/2021,808756,778122,30634,3.8
21,10/1/2021,809772,780470,29302,3.6
22,11/1/2021,809414,781810,27604,3.4
23,12/1/2021,810170,786136,24034,3
24,1/1/2022,810629,781638,28991,3.6
25,2/1/2022,810845,785358,25487,3.1
26,3/1/2022,815218,791669,23549,2.9
27,4/1/2022,816421,794416,22005,2.7
28,5/1/2022,824617,801836,22781,2.8
29,6/1/2022,830343,803507,26836,3.2
30,7/1/2022,833739,807788,25951,3.1
31,8/1/2022,835093,809135,25958,3.1
32,9/1/2022,836491,813293,23198,2.8
33,10/1/2022,835016,811973,23043,2.8
34,11/1/2022,826818,804223,22595,2.7
35,12/1/2022,827949,808017,19932,2.4
36,1/1/2023,828876,805226,23650,2.9
37,2/1/2023,829997,807054,22943,2.8
38,3/1/2023,836013,813320,22693,2.7
39,4/1/2023,836907,816349,20558,2.5
40,5/1/2023,843740,820166,23574,2.8
41,6/1/2023,852774,825089,27685,3.2
42,7/1/2023,851784,823852,27932,3.3
43,8/1/2023,855574,826255,29319,3.4
44,9/1/2023,854872,827602,27270,3.2
45,10/1/2023,854462,826801,27661,3.2
46,11/1/2023,851799,825372,26427,3.1
47,12/1/2023,847996,822867,25129,3
48,1/1/2024,844054,815556,28498,3.4
49,2/1/2024,845155,817144,28011,3.3
50,3/1/2024,849495,822003,27492,3.2
51,4/1/2024,850244,824686,25558,3
52,5/1/2024,853580,826291,27289,3.2
53,6/1/2024,862964,830624,32340,3.7
54,7/1/2024,865860,831773,34087,3.9
55,8/1/2024,864753,831589,33164,3.8
56,9/1/2024,864863,834471,30392,3.5
57,10/1/2024,860903,830736,30167,3.5
58,11/1/2024,855033,824733,30300,3.5
59,12/1/2024,854593,827379,27214,3.2
60,1/1/2025,858073,825453,32620,3.8
61,2/1/2025,853710,821180,32530,3.8
62,3/1/2025,855282,824592,30690,3.6
63,4/1/2025,855798,825530,30268,3.5
64,5/1/2025,856040,825072,30968,3.6
65,6/1/2025,861459,825624,35835,4.2
66,7/1/2025,868501,831747,36754,4.2
67,8/1/2025,864189,824860,39329,4.6
68,9/1/2025,868176,830475,37701,4.3
69,10/1/2025,,,,
70,11/1/2025,864444,820450,43994,5.1
71,12/1/2025,861749,821847,39902,4.6
,,,,,
,,,,,
