Performance Measure,Asset Type,2024 Asset Condition,2025 Target
% of facilities rated under 3.0 on TERM scale,Admin/maintenance facilities,0.00%,6.00%
% of facilities rated under 3.0 on TERM scale,Passenger/parking facilities total,3.00%,3.00%
"% of fleet exceeds UL of 12 years or 5,000 miles",Buses,16.00%,20.00%
% of fleet exceeds UL of 25 years,Automated guideway vehicle,67.00%,67.00%
% of fleet exceeds UL of 25 years,Ferryboat,0.00%,0.00%
"% of fleet exceeds UL of 4 years or 100,000 miles",Vans,12.00%,0.00%
"% of fleet exceeds UL of 5 years or 150,000 miles",Cutaways,76.00%,69.00%
% of non-revenue service vehicles exceeds UL of 18 years,Boats (equipment),100.00%,100.00%
"% of non-revenue vehicles exceeds UL of 4 years or 100,000 miles",Automobile (equipment),100.00%,100.00%
"% of non-revenue vehicles exceeds UL of 4 years or 100,000 miles",SUVs (equipment),81.00%,88.00%
"% of non-revenue vehicles exceeds UL of 4 years or 100,000 miles",Trucks (equipment),83.00%,83.00%
"% of non-revenue vehicles exceeds UL of 4 years or 100,000 miles",Trucks and other rubber tire vehicles (equipment),83.00%,86.00%
"% of non-revenue vehicles exceeds UL of 4 years or 100,000 miles",Vans (equipment),100.00%,100.00%
% of track segments under performance restrictions ,JTA rail fixed guideway,0.00%,8.00%
