Index,Facility_Type,Area,Year,SHS
9,Freeway,NORTH FLORIDA TPO,2020,25915712
10,Highway,NORTH FLORIDA TPO,2020,6781092
11,Arterial,NORTH FLORIDA TPO,2020,14806041
12,Freeway,NORTH FLORIDA TPO,2021,28195223
13,Highway,NORTH FLORIDA TPO,2021,6881993
14,Arterial,NORTH FLORIDA TPO,2021,14678869
15,Freeway,NORTH FLORIDA TPO,2022,29834213
16,Highway,NORTH FLORIDA TPO,2022,7601517
17,Arterial,NORTH FLORIDA TPO,2022,15638066
18,Freeway,NORTH FLORIDA TPO,2023,30355206
19,Highway,NORTH FLORIDA TPO,2023,8022289
20,Arterial,NORTH FLORIDA TPO,2023,15737829
21,Freeway,NORTH FLORIDA TPO,2024,31749102
22,Highway,NORTH FLORIDA TPO,2024,7715463
23,Arterial,NORTH FLORIDA TPO,2024,15903125
