index,Year,Agency,Age
3,2020,Jacksonville Transportation Authority,11.9
4,2020,Nassau Council on Aging,7.2
5,2020,The Sunshine Bus Company,4.2
6,2021,Jacksonville Transportation Authority,12.5
7,2021,Nassau Council on Aging,8.2
8,2021,The Sunshine Bus Company,4.1
9,2022,Jacksonville Transportation Authority,12.48
10,2022,Nassau Council on Aging,8.665
11,2022,The Sunshine Bus Company,5.043
9,2023,Jacksonville Transportation Authority,12.94
10,2023,Nassau Council on Aging,8.21
11,2023,The Sunshine Bus Company,5.557
12,2024,Jacksonville Transportation Authority,13.548
13,2024,Nassau Council on Aging,
14,2024,The Sunshine Bus Company,6.123
