Index,Agency,Year,Totals
2,St. Johns - Sunshine Bus Company ,2020,197680
3,St. Johns - Sunshine Bus Company ,2021,131542
4,St. Johns - Sunshine Bus Company ,2022,166005
5,St. Johns - Sunshine Bus Company ,2023,145547
6,St. Johns - Sunshine Bus Company ,2024,139229
9,Jacksonville - Jacksonville Transportation Authority ,2020,8024148
10,Jacksonville - Jacksonville Transportation Authority ,2021,5921568
11,Jacksonville - Jacksonville Transportation Authority ,2022,6112801
12,Jacksonville - Jacksonville Transportation Authority ,2023,6678105
13,Jacksonville - Jacksonville Transportation Authority ,2024,7370795
16,Nassau - Nassau Council on Aging,2020,45933
17,Nassau - Nassau Council on Aging,2021,30511
18,Nassau - Nassau Council on Aging,2022,41879
19,Nassau - Nassau Council on Aging,2023,47621
20,Nassau - Nassau Council on Aging,2024,27646
