index,county,year,SHS_year,NHS_year,SHS_daily,NHS_daily,SHS_pkhour,NHS_pkhour
3,CLAY,2020,644535,578984,1766,1586,327,300
4,CLAY,2021,858860,747904,2353,2049,517,466
5,CLAY,2022,789321,729620,2163,1999,475,447
6,CLAY,2023,873771,788821,2394,2161,493,459
7,CLAY,2024,1002740,912405,2747,2500,544,508
11,DUVAL,2020,5698726,3526800,15613,9662,2795,2023
12,DUVAL,2021,5227167,3533267,14321,9680,3072,2344
13,DUVAL,2022,6581463,4760258,18031,13042,4137,3266
14,DUVAL,2023,7642592,5508318,20939,15091,5175,4123
15,DUVAL,2024,8641332,6566763,23675,17991,6042,4985
19,NASSAU,2020,292996,295184,803,809,81,81
20,NASSAU,2021,208689,167763,572,460,78,63
21,NASSAU,2022,209856,205454,575,563,95,94
22,NASSAU,2023,232639,228340,637,626,87,83
23,NASSAU,2024,246717,225846,676,619,100,93
27,ST. JOHNS,2020,977084,473093,2677,1296,312,171
28,ST. JOHNS,2021,1373162,767015,3762,2101,569,386
29,ST. JOHNS,2022,1448795,786870,3969,2156,563,355
30,ST. JOHNS,2023,1647601,1065831,4514,2920,707,510
31,ST. JOHNS,2024,2033023,1061285,5570,2908,973,512
