index,county,year,class,count
0,CLAY,YR2016,NHS,1895409.5
1,CLAY,YR2017,NHS,1846189.5
2,CLAY,YR2018,NHS,1895160
3,CLAY,YR2019,NHS,1857719.3
4,CLAY,YR2020,NHS,1755693.8
5,CLAY,YR2021,NHS,1843702.6
6,CLAY,YR2022,NHS,1866591.2
7,CLAY,YR2023,NHS,2123143
8,DUVAL,YR2016,NHS,18795532
9,DUVAL,YR2017,NHS,18365751.9
10,DUVAL,YR2018,NHS,18504961.2
11,DUVAL,YR2019,NHS,19261658.4
12,DUVAL,YR2020,NHS,17076011.8
13,DUVAL,YR2021,NHS,17433753
14,DUVAL,YR2022,NHS,18963289.7
15,DUVAL,YR2023,NHS,19552061
16,NASSAU,YR2016,NHS,1876578.55
17,NASSAU,YR2017,NHS,1829091.92
18,NASSAU,YR2018,NHS,1769822.018
19,NASSAU,YR2019,NHS,1802162.805
20,NASSAU,YR2020,NHS,1767281.2
21,NASSAU,YR2021,NHS,1885793
22,NASSAU,YR2022,NHS,2119457
23,NASSAU,YR2023,NHS,2445392
24,ST.JOHNS,YR2016,NHS,4213584.3
25,ST.JOHNS,YR2017,NHS,4367620.3
26,ST.JOHNS,YR2018,NHS,4185055.8
27,ST.JOHNS,YR2019,NHS,4162966.7
28,ST.JOHNS,YR2020,NHS,4214437.1
29,ST.JOHNS,YR2021,NHS,4803559.2
30,ST.JOHNS,YR2022,NHS,4806076.6
31,ST.JOHNS,YR2023,NHS,5092746
32,CLAY,YR2016,SHS,2192840.9
33,CLAY,YR2017,SHS,2144732.4
34,CLAY,YR2018,SHS,2203644.1
35,CLAY,YR2019,SHS,2179217
36,CLAY,YR2020,SHS,2128200
37,CLAY,YR2021,SHS,2238437.2
38,CLAY,YR2022,SHS,2261461.6
39,CLAY,YR2023,SHS,2287983
40,DUVAL,YR2016,SHS,21315407.1
41,DUVAL,YR2017,SHS,20751173.3
42,DUVAL,YR2018,SHS,21003384
43,DUVAL,YR2019,SHS,21966317.2
44,DUVAL,YR2020,SHS,19585659
45,DUVAL,YR2021,SHS,20037048.8
46,DUVAL,YR2022,SHS,21669789.8
47,DUVAL,YR2023,SHS,22232365
48,NASSAU,YR2016,SHS,2028985.35
49,NASSAU,YR2017,SHS,1976736.619
50,NASSAU,YR2018,SHS,1922141.122
51,NASSAU,YR2019,SHS,1966918.904
52,NASSAU,YR2020,SHS,1942782.081
53,NASSAU,YR2021,SHS,2058941
54,NASSAU,YR2022,SHS,2284182
55,NASSAU,YR2023,SHS,2445392
56,ST.JOHNS,YR2016,SHS,5317248
57,ST.JOHNS,YR2017,SHS,5446654
58,ST.JOHNS,YR2018,SHS,5261398
59,ST.JOHNS,YR2019,SHS,5304872
60,ST.JOHNS,YR2020,SHS,5330964
61,ST.JOHNS,YR2021,SHS,5953911
62,ST.JOHNS,YR2022,SHS,6014328
63,ST.JOHNS,YR2023,SHS,6012326
